iter	Passed	Remaining
0	2	2829
1	6	3354
2	10	3600
3	13	3385
4	16	3263
5	19	3200
6	22	3156
7	25	3122
8	27	3082
9	30	3049
10	33	3042
11	36	3019
12	39	2999
13	42	2986
14	45	2974
15	48	2957
16	50	2945
17	53	2939
18	56	2925
19	59	2915
20	62	2906
21	65	2898
22	68	2890
23	70	2882
24	73	2874
25	76	2868
26	79	2862
27	82	2857
28	85	2852
29	88	2845
30	90	2839
31	93	2833
32	96	2828
33	99	2821
34	102	2814
35	104	2809
36	107	2804
37	110	2800
38	113	2796
39	116	2792
40	120	2815
41	123	2811
42	126	2805
43	128	2799
44	131	2795
45	134	2791
46	137	2793
47	140	2790
48	143	2789
49	146	2784
50	149	2778
51	152	2775
52	155	2771
53	157	2766
54	160	2760
55	163	2755
56	166	2752
57	169	2748
58	172	2743
59	174	2738
60	177	2734
61	180	2729
62	183	2724
63	185	2719
64	188	2716
65	191	2711
66	194	2707
67	197	2704
68	200	2699
69	202	2695
70	205	2691
71	208	2687
72	211	2683
73	215	2693
74	218	2689
75	220	2686
76	224	2685
77	228	2696
78	230	2692
79	233	2689
80	236	2687
81	239	2683
82	242	2680
83	245	2677
84	248	2673
85	251	2669
86	253	2665
87	256	2661
88	259	2656
89	262	2653
90	265	2651
91	268	2648
92	271	2645
93	274	2641
94	278	2652
95	281	2648
96	284	2645
97	287	2642
98	290	2639
99	292	2636
100	295	2633
101	298	2629
102	301	2625
103	304	2622
104	307	2619
105	310	2615
106	313	2612
107	316	2610
108	318	2607
109	321	2603
110	324	2600
111	327	2597
112	330	2594
113	333	2590
114	336	2587
115	339	2585
116	342	2581
117	344	2577
118	347	2575
119	350	2572
120	353	2569
121	356	2566
122	359	2564
123	362	2561
124	365	2558
125	368	2555
126	371	2552
127	374	2549
128	376	2545
129	379	2542
130	382	2538
131	385	2535
132	388	2532
133	391	2529
134	394	2526
135	397	2523
136	399	2519
137	402	2517
138	406	2515
139	408	2512
140	411	2508
141	414	2505
142	417	2502
143	420	2499
144	423	2498
145	426	2494
146	429	2491
147	432	2488
148	435	2485
149	438	2482
150	440	2479
151	443	2475
152	446	2472
153	449	2469
154	452	2466
155	455	2463
156	458	2460
157	461	2456
158	463	2453
159	466	2450
160	469	2447
161	472	2443
162	475	2441
163	478	2438
164	481	2435
165	484	2432
166	486	2428
167	489	2425
168	492	2422
169	495	2420
170	498	2417
171	501	2414
172	504	2411
173	507	2408
174	511	2411
175	514	2408
176	517	2405
177	520	2401
178	522	2398
179	525	2395
180	528	2391
181	532	2391
182	535	2388
183	537	2385
184	541	2384
185	544	2381
186	546	2378
187	549	2374
188	552	2371
189	555	2369
190	558	2365
191	561	2363
192	564	2360
193	567	2357
194	570	2353
195	573	2350
196	576	2348
197	579	2345
198	582	2342
199	585	2341
200	588	2338
201	591	2335
202	593	2332
203	596	2328
204	599	2325
205	602	2322
206	605	2319
207	608	2316
208	611	2313
209	614	2310
210	617	2307
211	620	2304
212	622	2301
213	625	2298
214	628	2295
215	631	2292
216	634	2288
217	637	2285
218	640	2282
219	643	2279
220	645	2276
221	648	2273
222	651	2270
223	654	2266
224	657	2263
225	660	2260
226	662	2257
227	665	2254
228	669	2255
229	672	2252
230	675	2248
231	678	2245
232	681	2242
233	684	2239
234	686	2236
235	689	2233
236	692	2230
237	695	2227
238	699	2227
239	702	2224
240	705	2221
241	708	2218
242	711	2215
243	714	2212
244	716	2209
245	719	2206
246	722	2202
247	725	2199
248	728	2196
249	731	2193
250	734	2190
251	736	2187
252	739	2184
253	742	2181
254	745	2178
255	748	2175
256	751	2172
257	754	2168
258	756	2165
259	759	2162
260	762	2159
261	765	2156
262	768	2152
263	771	2149
264	773	2146
265	776	2143
266	779	2140
267	782	2137
268	785	2134
269	788	2131
270	791	2128
271	793	2124
272	796	2121
273	799	2118
274	802	2115
275	805	2112
276	808	2109
277	810	2106
278	813	2103
279	816	2099
280	819	2096
281	822	2093
282	825	2091
283	828	2087
284	830	2084
285	834	2082
